Timestamp,OpModeStatus,Loop Counter,Battery
006.930,RUNNING,165,11.790
006.953,RUNNING,166,11.772
006.975,RUNNING,167,11.724
006.998,RUNNING,168,11.746
007.022,RUNNING,169,11.768
007.044,RUNNING,170,11.733
007.066,RUNNING,171,11.742
007.089,RUNNING,172,11.764
007.112,RUNNING,173,11.764
007.137,RUNNING,174,11.781
007.159,RUNNING,175,11.772
007.181,RUNNING,176,11.764
007.202,RUNNING,177,11.746
007.224,RUNNING,178,11.729
007.247,RUNNING,179,11.768
007.269,RUNNING,180,11.759
007.294,RUNNING,181,11.720
007.317,RUNNING,182,11.764
007.339,RUNNING,183,11.768
007.362,RUNNING,184,11.737
007.384,RUNNING,185,11.737
007.407,RUNNING,186,11.785
007.429,RUNNING,187,11.755
007.452,RUNNING,188,11.729
007.475,RUNNING,189,11.759
007.498,RUNNING,190,11.764
007.520,RUNNING,191,11.750
007.544,RUNNING,192,11.729
007.567,RUNNING,193,11.764
007.589,RUNNING,194,11.764
007.611,RUNNING,195,11.746
007.634,RUNNING,196,11.768
007.656,RUNNING,197,11.785
007.679,RUNNING,198,11.764
007.701,RUNNING,199,11.746
007.724,RUNNING,200,11.768
007.748,RUNNING,201,11.742
007.770,RUNNING,202,11.733
007.793,RUNNING,203,11.777
007.816,RUNNING,204,11.768
007.838,RUNNING,205,11.768
007.862,RUNNING,206,11.777
007.885,RUNNING,207,11.768
007.907,RUNNING,208,11.750
007.930,RUNNING,209,11.755
007.952,RUNNING,210,11.764
007.975,RUNNING,211,11.742
007.998,RUNNING,212,11.733
008.020,RUNNING,213,11.764
008.043,RUNNING,214,11.755
008.066,RUNNING,215,11.785
008.088,RUNNING,216,11.720
008.111,RUNNING,217,11.764
008.133,RUNNING,218,11.781
008.157,RUNNING,219,11.755
008.179,RUNNING,220,11.737
008.202,RUNNING,221,11.742
008.224,RUNNING,222,11.759
008.249,RUNNING,223,11.750
008.271,RUNNING,224,11.746
008.294,RUNNING,225,11.785
008.317,RUNNING,226,11.746
008.339,RUNNING,227,11.746
008.362,RUNNING,228,11.742
008.384,RUNNING,229,11.755
008.407,RUNNING,230,11.742
008.430,RUNNING,231,11.729
008.453,RUNNING,232,11.764
008.476,RUNNING,233,11.759
008.499,RUNNING,234,11.729
008.522,RUNNING,235,11.759
008.544,RUNNING,236,11.764
008.567,RUNNING,237,11.737
008.589,RUNNING,238,11.729
008.612,RUNNING,239,11.759
008.635,RUNNING,240,11.724
008.657,RUNNING,241,11.720
008.680,RUNNING,242,11.746
008.702,RUNNING,243,11.746
008.725,RUNNING,244,11.750
008.748,RUNNING,245,11.764
008.771,RUNNING,246,11.746
008.794,RUNNING,247,11.742
008.817,RUNNING,248,11.737
008.840,RUNNING,249,11.746
008.865,RUNNING,250,11.768
008.887,RUNNING,251,11.720
008.910,RUNNING,252,11.737
008.933,RUNNING,253,11.759
008.955,RUNNING,254,11.737
008.978,RUNNING,255,11.755
009.001,RUNNING,256,11.764
009.024,RUNNING,257,11.755
009.047,RUNNING,258,11.733
009.071,RUNNING,259,11.737
009.094,RUNNING,260,11.755
009.117,RUNNING,261,11.733
009.142,RUNNING,262,11.737
009.165,RUNNING,263,11.755
009.187,RUNNING,264,11.742
009.209,RUNNING,265,11.746
009.231,RUNNING,266,11.759
009.261,RUNNING,267,11.759
009.284,RUNNING,268,11.733
009.306,RUNNING,269,11.724
009.329,RUNNING,270,11.737
009.352,RUNNING,271,11.720
009.383,RUNNING,272,11.742
009.406,RUNNING,273,11.759
009.429,RUNNING,274,11.759
009.451,RUNNING,275,11.764
009.474,RUNNING,276,11.759
009.497,RUNNING,277,11.742
009.519,RUNNING,278,11.746
009.542,RUNNING,279,11.742
009.564,RUNNING,280,11.724
009.586,RUNNING,281,11.737
009.609,RUNNING,282,11.737
009.632,RUNNING,283,11.729
