Timestamp,OpModeStatus,Loop Counter,Battery
000.006,INIT,,12.332
001.826,RUNNING,0,10.400
001.857,RUNNING,1,10.068
001.880,RUNNING,2,10.391
001.904,RUNNING,3,10.566
001.927,RUNNING,4,10.793
001.949,RUNNING,5,10.911
001.972,RUNNING,6,11.029
001.995,RUNNING,7,11.112
002.019,RUNNING,8,11.178
002.042,RUNNING,9,11.204
002.065,RUNNING,10,11.261
002.088,RUNNING,11,11.305
002.110,RUNNING,12,11.283
002.133,RUNNING,13,11.348
002.156,RUNNING,14,11.370
002.179,RUNNING,15,11.401
002.202,RUNNING,16,11.379
002.224,RUNNING,17,11.392
002.249,RUNNING,18,11.401
002.271,RUNNING,19,11.405
002.298,RUNNING,20,11.401
002.321,RUNNING,21,11.440
002.344,RUNNING,22,11.436
002.367,RUNNING,23,11.418
002.390,RUNNING,24,11.423
002.413,RUNNING,25,11.453
002.435,RUNNING,26,11.449
002.458,RUNNING,27,11.431
002.481,RUNNING,28,11.445
002.504,RUNNING,29,11.453
002.527,RUNNING,30,11.453
002.550,RUNNING,31,11.436
002.574,RUNNING,32,11.436
002.597,RUNNING,33,11.479
002.620,RUNNING,34,11.466
002.642,RUNNING,35,11.440
002.665,RUNNING,36,11.445
002.688,RUNNING,37,11.475
002.711,RUNNING,38,11.488
002.734,RUNNING,39,11.449
002.757,RUNNING,40,11.471
002.779,RUNNING,41,11.514
002.803,RUNNING,42,11.427
002.826,RUNNING,43,11.458
002.851,RUNNING,44,11.484
002.874,RUNNING,45,11.462
002.897,RUNNING,46,11.431
002.919,RUNNING,47,11.466
002.942,RUNNING,48,11.466
002.966,RUNNING,49,11.440
002.989,RUNNING,50,11.440
003.011,RUNNING,51,11.466
003.035,RUNNING,52,11.462
003.057,RUNNING,53,11.445
003.080,RUNNING,54,11.462
003.103,RUNNING,55,11.488
003.128,RUNNING,56,11.488
003.151,RUNNING,57,11.462
003.173,RUNNING,58,11.479
003.196,RUNNING,59,11.493
003.219,RUNNING,60,11.475
003.241,RUNNING,61,11.440
003.264,RUNNING,62,11.488
003.287,RUNNING,63,11.475
003.310,RUNNING,64,11.453
003.333,RUNNING,65,11.466
003.358,RUNNING,66,11.475
003.381,RUNNING,67,11.497
003.405,RUNNING,68,11.440
003.428,RUNNING,69,11.466
003.451,RUNNING,70,11.484
003.474,RUNNING,71,11.427
003.496,RUNNING,72,11.414
003.519,RUNNING,73,11.493
003.542,RUNNING,74,11.471
003.565,RUNNING,75,11.436
003.588,RUNNING,76,11.453
003.611,RUNNING,77,11.479
003.634,RUNNING,78,11.466
003.656,RUNNING,79,11.431
003.679,RUNNING,80,11.466
003.702,RUNNING,81,11.484
003.725,RUNNING,82,11.436
003.748,RUNNING,83,11.453
003.771,RUNNING,84,11.449
003.795,RUNNING,85,11.440
003.818,RUNNING,86,11.445
003.841,RUNNING,87,11.453
003.863,RUNNING,88,11.462
003.886,RUNNING,89,11.427
003.908,RUNNING,90,11.453
003.931,RUNNING,91,11.479
003.953,RUNNING,92,11.466
003.976,RUNNING,93,11.466
003.999,RUNNING,94,11.462
004.022,RUNNING,95,11.475
004.045,RUNNING,96,11.475
004.068,RUNNING,97,11.445
004.091,RUNNING,98,11.449
004.114,RUNNING,99,11.484
004.136,RUNNING,100,11.462
004.159,RUNNING,101,11.427
004.182,RUNNING,102,11.471
004.205,RUNNING,103,11.462
004.228,RUNNING,104,11.462
004.251,RUNNING,105,11.462
004.274,RUNNING,106,11.475
004.298,RUNNING,107,11.466
004.321,RUNNING,108,11.475
004.345,RUNNING,109,11.471
004.369,RUNNING,110,11.497
004.391,RUNNING,111,11.462
004.414,RUNNING,112,11.458
004.437,RUNNING,113,11.475
004.461,RUNNING,114,11.462
004.484,RUNNING,115,11.449
004.507,RUNNING,116,11.466
004.529,RUNNING,117,11.475
004.554,RUNNING,118,11.462
004.577,RUNNING,119,11.436
004.600,RUNNING,120,11.471
004.624,RUNNING,121,11.453
004.647,RUNNING,122,11.427
004.670,RUNNING,123,11.449
004.693,RUNNING,124,11.458
004.715,RUNNING,125,11.458
004.740,RUNNING,126,11.453
004.763,RUNNING,127,11.449
004.786,RUNNING,128,11.471
004.808,RUNNING,129,11.475
004.831,RUNNING,130,11.445
004.854,RUNNING,131,11.462
004.877,RUNNING,132,11.466
004.907,RUNNING,133,11.458
004.930,RUNNING,134,11.466
004.952,RUNNING,135,11.445
004.975,RUNNING,136,11.449
004.998,RUNNING,137,11.462
005.024,RUNNING,138,11.453
005.046,RUNNING,139,11.471
005.069,RUNNING,140,11.440
005.092,RUNNING,141,11.458
005.115,RUNNING,142,11.458
005.138,RUNNING,143,11.453
005.161,RUNNING,144,11.431
005.186,RUNNING,145,11.440
005.208,RUNNING,146,11.453
005.231,RUNNING,147,11.418
005.254,RUNNING,148,11.440
005.277,RUNNING,149,11.453
005.299,RUNNING,150,11.453
005.322,RUNNING,151,11.445
005.345,RUNNING,152,11.423
005.368,RUNNING,153,11.462
005.390,RUNNING,154,11.449
005.413,RUNNING,155,11.445
005.435,RUNNING,156,11.453
005.458,RUNNING,157,11.471
005.481,RUNNING,158,11.458
005.503,RUNNING,159,11.479
005.526,RUNNING,160,11.462
005.548,RUNNING,161,11.449
005.572,RUNNING,162,11.440
005.596,RUNNING,163,11.471
005.618,RUNNING,164,11.475
005.641,RUNNING,165,11.436
005.664,RUNNING,166,11.466
